Temps (en s),Position (en mm),Force (en kN),Inclinaison (en °),Pressure (en bar),AIO1 (50mm) (en mm),AIO3 (Temp Ch) (en °C),AIO4 (100mm) (en mm),AIO5(50mm) (en mm),AIO6(100mm) (en mm),Angle (body) (en °),angle (riser) (en °),
48.1500,350.43,-47.36,-1.148,93.4,-1.15,61.9,-3.52,-5.08,-9.07,-0.437,-7.485,
48.1600,350.12,-46.97,-1.437,93.0,-2.11,61.8,-5.78,-5.92,-10.77,-0.490,-7.474,
48.1700,349.55,-46.51,-1.154,92.4,-1.14,61.9,-3.52,-5.07,-9.06,-0.437,-7.453,
48.1800,349.13,-46.39,-1.439,92.9,-2.11,61.8,-5.75,-5.92,-10.77,-0.490,-7.442,
48.1900,348.72,-46.33,-1.161,93.2,-1.15,61.8,-3.52,-5.07,-9.07,-0.437,-7.423,
48.2000,348.03,-45.87,-1.456,92.7,-2.11,61.8,-5.78,-5.92,-10.78,-0.491,-7.400,
48.2100,347.42,-45.72,-1.167,93.2,-1.15,61.9,-3.51,-5.07,-9.07,-0.438,-7.383,
48.2200,347.17,-45.68,-1.460,93.1,-2.11,62.0,-5.78,-5.92,-10.78,-0.491,-7.361,
48.2300,346.56,-45.47,-1.171,92.6,-1.15,62.2,-3.52,-5.07,-9.07,-0.437,-7.336,
48.2400,346.27,-44.83,-1.473,92.4,-2.10,62.2,-5.78,-5.92,-10.78,-0.492,-7.314,
48.2500,345.79,-44.56,-1.185,92.9,-1.14,62.2,-3.51,-5.07,-9.07,-0.437,-7.280,
48.2600,345.34,-44.40,-1.479,93.4,-2.11,62.1,-5.78,-5.92,-10.77,-0.490,-7.259,
48.2700,344.82,-44.34,-1.198,92.7,-1.15,62.2,-3.50,-5.07,-9.07,-0.437,-7.238,
48.2800,344.17,-44.13,-1.495,92.7,-2.12,62.1,-5.77,-5.92,-10.78,-0.490,-7.210,
48.2900,343.65,-43.67,-1.195,93.1,-1.14,62.2,-3.50,-5.07,-9.07,-0.437,-7.182,
48.3000,343.23,-43.46,-1.495,92.6,-2.12,62.1,-5.80,-5.92,-10.78,-0.491,-7.163,
48.3100,342.63,-43.30,-1.211,92.7,-1.14,62.4,-3.51,-5.07,-9.07,-0.438,-7.137,
48.3200,342.32,-43.06,-1.497,93.1,-2.11,62.4,-5.78,-5.92,-10.77,-0.490,-7.116,
48.3300,341.88,-42.79,-1.225,92.8,-1.14,62.5,-3.49,-5.07,-9.06,-0.437,-7.088,
48.3400,341.09,-42.39,-1.509,92.7,-2.12,62.4,-5.79,-5.92,-10.78,-0.490,-7.061,
48.3500,340.65,-42.48,-1.230,92.7,-1.14,62.4,-3.50,-5.07,-9.06,-0.437,-7.039,
48.3600,340.14,-42.54,-1.512,93.1,-2.11,62.1,-5.80,-5.93,-10.78,-0.489,-7.011,
48.3700,339.46,-42.33,-1.240,92.6,-1.14,62.0,-3.51,-5.07,-9.06,-0.437,-6.984,
48.3800,338.87,-41.81,-1.525,92.9,-2.12,61.9,-5.80,-5.93,-10.77,-0.491,-6.962,
48.3900,338.56,-41.84,-1.252,93.3,-1.14,62.0,-3.51,-5.07,-9.07,-0.437,-6.943,
48.4000,338.29,-41.50,-1.537,92.8,-2.12,61.9,-5.78,-5.92,-10.77,-0.491,-6.888,
48.4100,337.88,-41.23,-1.261,92.5,-1.14,62.0,-3.49,-5.07,-9.06,-0.437,-6.877,
48.4200,337.50,-40.47,-1.537,93.0,-2.12,61.9,-5.77,-5.93,-10.80,-0.490,-6.845,
48.4300,336.88,-40.37,-1.273,92.5,-1.14,62.0,-3.51,-5.07,-9.07,-0.437,-6.821,
48.4400,336.49,-40.16,-1.552,93.2,-2.12,62.1,-5.80,-5.92,-10.78,-0.491,-6.796,
48.4500,335.87,-39.86,-1.271,92.7,-1.14,62.2,-3.50,-5.07,-9.06,-0.437,-6.775,
48.4600,335.23,-39.28,-1.555,92.5,-2.12,62.1,-5.79,-5.92,-10.78,-0.491,-6.747,
48.4700,334.79,-38.97,-1.271,93.1,-1.13,62.3,-3.49,-5.07,-9.06,-0.437,-6.725,
48.4800,334.22,-38.82,-1.569,92.6,-2.13,62.4,-5.79,-5.93,-10.78,-0.492,-6.704,
48.4900,333.69,-38.88,-1.283,93.1,-1.14,62.5,-3.50,-5.07,-9.06,-0.437,-6.700,
48.5000,333.44,-38.60,-1.574,92.4,-2.12,62.4,-5.81,-5.93,-10.78,-0.491,-6.676,
48.5100,332.98,-38.33,-1.293,92.7,-1.14,62.5,-3.47,-5.07,-9.06,-0.437,-6.662,
48.5200,332.37,-38.02,-1.579,93.1,-2.12,62.4,-5.80,-5.92,-10.78,-0.491,-6.653,
48.5300,331.88,-37.93,-1.294,93.0,-1.14,62.5,-3.49,-5.06,-9.06,-0.437,-6.632,
48.5400,331.15,-37.78,-1.574,93.1,-2.12,62.4,-5.80,-5.93,-10.79,-0.492,-6.614,
48.5500,330.67,-38.02,-1.301,92.6,-1.13,62.5,-3.49,-5.07,-9.06,-0.438,-6.591,
48.5600,330.19,-37.87,-1.583,92.9,-2.12,62.2,-5.81,-5.92,-10.78,-0.493,-6.578,
48.5700,329.53,-38.09,-1.311,92.6,-1.12,62.1,-3.49,-5.07,-9.06,-0.437,-6.548,
48.5800,329.22,-37.66,-1.604,92.8,-2.13,61.9,-5.80,-5.93,-10.79,-0.492,-6.514,
48.5900,328.77,-37.66,-1.327,93.1,-1.13,62.0,-3.49,-5.07,-9.06,-0.438,-6.491,
48.6000,328.05,-37.60,-1.604,92.8,-2.13,61.9,-5.80,-5.93,-10.79,-0.491,-6.472,
48.6100,327.87,-37.54,-1.332,92.4,-1.13,62.0,-3.49,-5.07,-9.05,-0.437,-6.457,
48.6200,327.25,-37.48,-1.614,93.0,-2.13,61.9,-5.80,-5.93,-10.80,-0.492,-6.427,
48.6300,326.55,-36.99,-1.339,92.6,-1.13,62.0,-3.49,-5.07,-9.05,-0.438,-6.407,
48.6400,326.17,-36.56,-1.622,92.9,-2.13,61.9,-5.81,-5.93,-10.79,-0.492,-6.376,
48.6500,325.45,-36.07,-1.342,92.8,-1.13,62.0,-3.48,-5.06,-9.06,-0.438,-6.359,
48.6600,324.96,-36.04,-1.631,92.8,-2.13,61.9,-5.81,-5.93,-10.79,-0.492,-6.327,
48.6700,324.63,-36.13,-1.359,93.1,-1.13,62.0,-3.48,-5.06,-9.05,-0.438,-6.311,
48.6800,324.10,-35.61,-1.640,93.1,-2.13,62.1,-5.81,-5.93,-10.79,-0.492,-6.269,
48.6900,323.55,-35.37,-1.372,92.3,-1.13,62.0,-3.49,-5.07,-9.05,-0.437,-6.239,
48.7000,322.98,-34.61,-1.647,92.7,-2.13,62.3,-5.82,-5.93,-10.79,-0.492,-6.211,
48.7100,322.38,-34.64,-1.379,93.2,-1.13,62.5,-3.49,-5.07,-9.06,-0.438,-6.184,
48.7200,321.88,-34.12,-1.660,92.7,-2.13,62.4,-5.80,-5.93,-10.79,-0.493,-6.147,
48.7300,321.13,-34.00,-1.397,92.6,-1.13,62.5,-3.46,-5.07,-9.05,-0.438,-6.124,
48.7400,320.76,-33.63,-1.669,93.4,-2.14,62.3,-5.82,-5.93,-10.79,-0.493,-6.070,
48.7500,320.27,-33.45,-1.396,92.7,-1.13,62.3,-3.49,-5.07,-9.06,-0.437,-6.041,
48.7600,319.70,-32.96,-1.680,93.0,-2.13,62.2,-5.82,-5.93,-10.78,-0.492,-6.011,
48.7700,319.17,-32.81,-1.405,92.7,-1.12,62.3,-3.48,-5.07,-9.06,-0.437,-5.983,
48.7800,318.91,-32.59,-1.690,93.1,-2.13,62.2,-5.81,-5.93,-10.79,-0.492,-5.966,
48.7900,317.98,-32.68,-1.417,92.8,-1.12,62.4,-3.48,-5.08,-9.07,-0.437,-5.944,
48.8000,317.47,-32.20,-1.695,93.0,-2.14,62.2,-5.82,-5.93,-10.79,-0.493,-5.921,
48.8100,316.85,-32.10,-1.424,93.2,-1.12,62.3,-3.48,-5.06,-9.05,-0.439,-5.913,
48.8200,316.39,-31.98,-1.702,92.5,-2.13,61.9,-5.82,-5.93,-10.79,-0.494,-5.893,
48.8300,315.75,-32.14,-1.428,92.3,-1.12,61.9,-3.47,-5.06,-9.04,-0.437,-5.880,
48.8400,315.23,-31.86,-1.703,92.7,-2.14,61.8,-5.83,-5.93,-10.79,-0.492,-5.863,
48.8500,315.01,-31.92,-1.435,92.8,-1.12,61.9,-3.47,-5.06,-9.06,-0.437,-5.853,
48.8600,314.69,-31.34,-1.714,93.1,-2.14,61.8,-5.83,-5.93,-10.79,-0.492,-5.833,
48.8700,314.14,-31.07,-1.447,92.8,-1.13,61.8,-3.48,-5.06,-9.05,-0.437,-5.825,
48.8800,313.42,-30.91,-1.724,92.9,-2.14,61.8,-5.82,-5.92,-10.78,-0.494,-5.793,
48.8900,312.96,-31.19,-1.446,92.6,-1.12,62.0,-3.49,-5.06,-9.05,-0.438,-5.765,
48.9000,312.43,-30.43,-1.729,93.1,-2.13,61.8,-5.82,-5.92,-10.79,-0.494,-5.744,
48.9100,311.90,-30.21,-1.461,93.4,-1.12,62.3,-3.48,-5.06,-9.05,-0.438,-5.721,
48.9200,311.37,-29.63,-1.736,92.6,-2.13,62.2,-5.80,-5.92,-10.77,-0.493,-5.703,
48.9300,310.71,-29.33,-1.467,92.4,-1.13,62.3,-3.44,-5.06,-9.05,-0.438,-5.682,
48.9400,310.13,-29.21,-1.742,93.4,-2.14,62.2,-5.83,-5.93,-10.80,-0.493,-5.659,
48.9500,309.80,-29.17,-1.477,92.7,-1.12,62.3,-3.48,-5.06,-9.05,-0.438,-5.644,
48.9600,309.19,-28.90,-1.746,93.0,-2.14,62.2,-5.84,-5.93,-10.79,-0.494,-5.627,
48.9700,308.53,-28.50,-1.475,92.7,-1.12,62.3,-3.47,-5.06,-9.04,-0.438,-5.605,
48.9800,308.00,-28.05,-1.752,92.9,-2.14,62.2,-5.83,-5.92,-10.80,-0.494,-5.592,
48.9900,307.42,-28.02,-1.480,93.2,-1.11,62.4,-3.46,-5.06,-9.05,-0.438,-5.571,
49.0000,307.05,-27.98,-1.770,92.4,-2.15,62.2,-5.83,-5.93,-10.79,-0.494,-5.535,
49.0100,306.37,-27.86,-1.497,93.1,-1.12,62.3,-3.47,-5.06,-9.05,-0.438,-5.513,
49.0200,305.82,-27.47,-1.771,92.5,-2.14,62.2,-5.83,-5.93,-10.79,-0.493,-5.490,
49.0300,305.31,-27.68,-1.497,92.6,-1.12,62.3,-3.46,-5.06,-9.04,-0.438,-5.467,
49.0400,304.67,-26.95,-1.772,93.0,-2.15,61.9,-5.82,-5.93,-10.80,-0.493,-5.443,
49.0500,304.08,-27.04,-1.510,92.9,-1.12,61.9,-3.46,-5.06,-9.06,-0.438,-5.415,
49.0600,303.57,-26.67,-1.791,93.1,-2.15,61.8,-5.83,-5.93,-10.80,-0.494,-5.396,
49.0700,302.97,-26.95,-1.513,92.5,-1.11,61.9,-3.46,-5.06,-9.05,-0.438,-5.360,
49.0800,302.44,-26.46,-1.789,93.0,-2.14,62.3,-5.84,-5.93,-10.79,-0.494,-5.345,
49.0900,301.85,-26.43,-1.523,92.5,-1.12,62.3,-3.47,-5.06,-9.03,-0.438,-5.317,
49.1000,301.25,-26.18,-1.802,93.1,-2.15,62.2,-5.83,-5.93,-10.79,-0.494,-5.302,
49.1100,300.70,-26.18,-1.530,92.7,-1.11,62.3,-3.45,-5.05,-9.04,-0.438,-5.279,
49.1200,300.24,-26.12,-1.807,92.6,-2.15,62.2,-5.82,-5.93,-10.80,-0.495,-5.260,
49.1300,299.58,-26.06,-1.544,92.9,-1.11,62.3,-3.45,-5.06,-9.04,-0.439,-5.232,
49.1400,298.94,-25.91,-1.815,93.2,-2.15,62.2,-5.84,-5.93,-10.80,-0.495,-5.198,
49.1500,298.43,-25.54,-1.552,92.4,-1.11,62.3,-3.45,-5.05,-9.03,-0.440,-5.166,
49.1600,297.73,-25.42,-1.823,93.1,-2.15,62.3,-5.85,-5.93,-10.78,-0.495,-5.140,
49.1700,297.34,-25.54,-1.563,92.9,-1.10,62.5,-3.46,-5.06,-9.04,-0.439,-5.104,
49.1800,296.89,-25.21,-1.837,92.8,-2.15,62.4,-5.84,-5.93,-10.79,-0.495,-5.065,
49.1900,296.14,-24.90,-1.577,92.9,-1.11,62.5,-3.46,-5.06,-9.05,-0.438,-5.035,
49.2000,295.50,-24.93,-1.852,92.1,-2.15,62.4,-5.84,-5.93,-10.80,-0.494,-4.997,
49.2100,294.87,-24.78,-1.591,93.2,-1.11,62.0,-3.44,-5.06,-9.05,-0.437,-4.959,
49.2200,294.31,-24.32,-1.873,92.8,-2.15,61.8,-5.85,-5.93,-10.79,-0.495,-4.920,
49.2300,293.63,-24.14,-1.594,93.1,-1.11,61.9,-3.46,-5.06,-9.05,-0.438,-4.890,
49.2400,293.02,-24.02,-1.880,92.9,-2.15,61.8,-5.84,-5.93,-10.80,-0.496,-4.852,
49.2500,292.44,-23.90,-1.620,93.1,-1.10,62.0,-3.45,-5.06,-9.04,-0.438,-4.820,
49.2600,291.89,-23.22,-1.888,92.3,-2.16,61.8,-5.84,-5.94,-10.80,-0.495,-4.780,
49.2700,291.38,-23.10,-1.626,92.9,-1.11,61.9,-3.45,-5.06,-9.03,-0.438,-4.747,
49.2800,290.72,-22.77,-1.898,92.6,-2.16,61.8,-5.85,-5.93,-10.79,-0.495,-4.718,
49.2900,290.06,-22.61,-1.640,92.4,-1.11,61.9,-3.43,-5.06,-9.04,-0.439,-4.694,
49.3000,289.58,-22.06,-1.906,93.1,-2.16,62.0,-5.85,-5.94,-10.78,-0.495,-4.668,
49.3100,289.34,-21.85,-1.647,93.1,-1.10,62.2,-3.45,-5.05,-9.04,-0.438,-4.649,
49.3200,288.70,-21.18,-1.918,92.5,-2.16,62.1,-5.85,-5.94,-10.80,-0.495,-4.619,
49.3300,288.26,-20.69,-1.654,93.0,-1.11,62.3,-3.45,-5.05,-9.04,-0.438,-4.598,
49.3400,287.68,-20.29,-1.935,93.0,-2.15,62.6,-5.84,-5.94,-10.80,-0.495,-4.572,
49.3500,287.00,-20.08,-1.656,92.8,-1.10,62.6,-3.46,-5.06,-9.04,-0.438,-4.551,
49.3600,286.40,-19.68,-1.924,92.9,-2.15,62.5,-5.85,-5.93,-10.79,-0.495,-4.538,
49.3700,285.85,-19.56,-1.664,92.7,-1.10,62.6,-3.44,-5.05,-9.02,-0.439,-4.526,
49.3800,285.08,-18.89,-1.937,93.0,-2.16,62.5,-5.86,-5.93,-10.80,-0.495,-4.513,
49.3900,284.56,-19.07,-1.671,92.7,-1.10,62.6,-3.45,-5.06,-9.03,-0.439,-4.506,
49.4000,284.03,-18.83,-1.938,92.9,-2.16,62.5,-5.85,-5.94,-10.79,-0.496,-4.502,
49.4100,283.34,-18.86,-1.673,92.7,-1.10,62.6,-3.45,-5.05,-9.03,-0.438,-4.487,
49.4200,282.75,-18.77,-1.939,93.3,-2.16,62.2,-5.86,-5.93,-10.79,-0.495,-4.479,
49.4300,282.20,-18.77,-1.672,92.9,-1.09,62.1,-3.44,-5.06,-9.02,-0.438,-4.468,
49.4400,281.52,-18.86,-1.945,92.6,-2.16,61.9,-5.87,-5.94,-10.80,-0.495,-4.459,
49.4500,280.96,-18.74,-1.678,92.9,-1.10,62.0,-3.43,-5.06,-9.02,-0.438,-4.444,
49.4600,280.41,-18.62,-1.942,92.5,-2.17,61.9,-5.85,-5.94,-10.81,-0.495,-4.419,
49.4700,279.68,-18.83,-1.684,92.8,-1.10,62.0,-3.40,-5.06,-9.03,-0.438,-4.398,
49.4800,279.13,-19.01,-1.957,92.6,-2.17,61.9,-5.87,-5.94,-10.81,-0.496,-4.370,
49.4900,278.47,-18.86,-1.702,93.0,-1.10,62.1,-3.44,-5.06,-9.02,-0.438,-4.342,
49.5000,277.94,-18.92,-1.960,92.8,-2.17,61.9,-5.86,-5.94,-10.81,-0.495,-4.314,
49.5100,277.55,-18.71,-1.706,92.9,-1.10,62.0,-3.44,-5.05,-9.04,-0.438,-4.285,
49.5200,276.78,-18.37,-1.974,92.9,-2.16,62.0,-5.86,-5.95,-10.81,-0.496,-4.246,
49.5300,276.36,-18.25,-1.713,92.8,-1.10,62.0,-3.44,-5.06,-9.03,-0.438,-4.206,
49.5400,275.67,-17.94,-1.993,93.2,-2.17,61.9,-5.86,-5.94,-10.80,-0.496,-4.173,
49.5500,274.86,-17.88,-1.729,92.9,-1.09,62.2,-3.43,-5.06,-9.03,-0.439,-4.131,
49.5600,274.31,-17.61,-2.003,92.7,-2.17,62.3,-5.84,-5.94,-10.80,-0.497,-4.094,
49.5700,273.69,-17.33,-1.744,92.9,-1.10,62.5,-3.43,-5.06,-9.03,-0.439,-4.052,
49.5800,273.01,-16.97,-2.019,92.9,-2.17,62.4,-5.87,-5.94,-10.81,-0.496,-4.009,
49.5900,272.61,-16.82,-1.761,93.1,-1.10,62.3,-3.44,-5.06,-9.04,-0.439,-3.958,
49.6000,271.88,-16.45,-2.028,92.5,-2.17,62.1,-5.87,-5.94,-10.82,-0.495,-3.920,
49.6100,271.34,-16.20,-1.774,93.1,-1.09,62.2,-3.43,-5.05,-9.03,-0.438,-3.877,
49.6200,270.76,-15.69,-2.046,92.8,-2.16,62.2,-5.87,-5.94,-10.81,-0.496,-3.826,
49.6300,270.03,-15.32,-1.790,92.6,-1.09,62.2,-3.43,-5.06,-9.03,-0.438,-3.796,
49.6400,269.38,-15.11,-2.051,93.2,-2.17,62.1,-5.87,-5.94,-10.81,-0.497,-3.745,
49.6500,268.96,-14.77,-1.806,92.2,-1.09,62.2,-3.42,-5.06,-9.04,-0.438,-3.715,
49.6600,268.25,-14.19,-2.074,92.7,-2.17,62.1,-5.83,-5.95,-10.82,-0.496,-3.685,
49.6700,267.70,-14.01,-1.814,92.8,-1.09,62.2,-3.43,-5.06,-9.03,-0.438,-3.653,
49.6800,267.10,-13.64,-2.079,92.9,-2.17,61.9,-5.88,-5.95,-10.81,-0.496,-3.629,
49.6900,266.33,-13.55,-1.821,92.6,-1.09,61.9,-3.44,-5.06,-9.03,-0.438,-3.612,
49.7000,265.80,-13.28,-2.090,92.7,-2.17,61.8,-5.88,-5.94,-10.81,-0.496,-3.593,
49.7100,265.19,-13.09,-1.830,93.1,-1.09,62.0,-3.43,-5.06,-9.04,-0.438,-3.572,
49.7200,264.35,-12.82,-2.090,92.6,-2.18,61.8,-5.87,-5.95,-10.82,-0.496,-3.557,
49.7300,263.69,-12.51,-1.836,92.9,-1.09,61.9,-3.41,-5.06,-9.03,-0.438,-3.546,
49.7400,263.05,-12.45,-2.098,92.8,-2.17,61.8,-5.88,-5.95,-10.82,-0.496,-3.527,
49.7500,262.57,-12.48,-1.839,92.7,-1.08,61.9,-3.40,-5.06,-9.02,-0.438,-3.521,
49.7600,262.13,-12.27,-2.103,92.7,-2.18,62.1,-5.88,-5.95,-10.82,-0.496,-3.508,
49.7700,261.71,-11.96,-1.848,92.7,-1.08,62.5,-3.41,-5.06,-9.04,-0.437,-3.501,
49.7800,261.11,-11.72,-2.118,92.7,-2.17,62.4,-5.87,-5.95,-10.82,-0.497,-3.482,
49.7900,260.54,-11.54,-1.850,93.2,-1.08,62.6,-3.41,-5.06,-9.03,-0.439,-3.463,
49.8000,259.64,-11.35,-2.108,92.7,-2.19,62.4,-5.88,-5.95,-10.82,-0.496,-3.442,
49.8100,259.19,-11.26,-1.847,93.3,-1.08,62.4,-3.42,-5.06,-9.03,-0.438,-3.433,
49.8200,258.49,-10.65,-2.108,92.9,-2.17,62.2,-5.88,-5.95,-10.81,-0.497,-3.403,
49.8300,257.94,-10.53,-1.860,93.4,-1.08,62.3,-3.42,-5.06,-9.03,-0.438,-3.384,
49.8400,257.41,-10.19,-2.112,92.6,-2.18,62.2,-5.88,-5.95,-10.82,-0.496,-3.367,
49.8500,256.68,-10.04,-1.869,92.6,-1.08,62.3,-3.41,-5.06,-9.03,-0.437,-3.343,
49.8600,256.24,-9.92,-2.129,93.0,-2.18,62.2,-5.88,-5.95,-10.83,-0.496,-3.322,
49.8700,255.38,-9.74,-1.874,92.6,-1.09,62.3,-3.42,-5.06,-9.04,-0.438,-3.299,
49.8800,254.72,-9.55,-2.135,92.9,-2.18,62.2,-5.89,-5.95,-10.82,-0.497,-3.273,
49.8900,254.13,-9.43,-1.881,92.4,-1.08,62.3,-3.41,-5.06,-9.03,-0.437,-3.252,
49.9000,253.42,-8.91,-2.150,93.0,-2.18,61.9,-5.89,-5.95,-10.82,-0.496,-3.224,
49.9100,252.91,-8.91,-1.892,92.5,-1.08,61.9,-3.41,-5.06,-9.03,-0.438,-3.183,
49.9200,252.28,-9.03,-2.157,93.2,-2.18,61.8,-5.88,-5.95,-10.83,-0.496,-3.153,
49.9300,251.81,-9.09,-1.902,92.6,-1.08,62.0,-3.41,-5.06,-9.03,-0.438,-3.119,
49.9400,251.02,-9.19,-2.169,92.9,-2.17,62.3,-5.89,-5.95,-10.83,-0.496,-3.077,
49.9500,250.43,-8.91,-1.917,92.9,-1.08,62.3,-3.42,-5.06,-9.03,-0.438,-3.034,
49.9600,249.76,-8.85,-2.183,93.0,-2.18,62.2,-5.88,-5.95,-10.83,-0.498,-3.004,
49.9700,249.10,-8.82,-1.921,92.9,-1.08,62.3,-3.38,-5.05,-9.02,-0.438,-2.966,
49.9800,248.47,-8.79,-2.167,92.8,-2.19,62.2,-5.89,-5.96,-10.84,-0.497,-2.923,
49.9900,247.72,-8.85,-1.939,92.7,-1.08,62.3,-3.39,-5.05,-9.02,-0.438,-2.891,
50.0000,247.34,-8.45,-2.210,92.5,-2.19,62.2,-5.90,-5.96,-10.84,-0.498,-2.848,
50.0100,246.61,-8.12,-1.960,92.8,-1.07,62.4,-3.40,-5.05,-9.01,-0.438,-2.812,
50.0200,246.00,-7.81,-2.215,92.9,-2.18,62.4,-5.88,-5.95,-10.84,-0.498,-2.765,
50.0300,245.38,-7.54,-1.963,93.1,-1.07,62.5,-3.39,-5.04,-9.01,-0.439,-2.729,
50.0400,244.68,-7.17,-2.227,92.4,-2.18,62.4,-5.88,-5.94,-10.82,-0.499,-2.693,
50.0500,243.99,-6.99,-1.980,92.7,-1.08,62.5,-3.37,-5.05,-9.04,-0.438,-2.669,
50.0600,243.31,-6.50,-2.249,93.2,-2.19,62.4,-5.90,-5.95,-10.83,-0.499,-2.620,
50.0700,242.65,-6.16,-1.989,93.0,-1.08,62.1,-3.40,-5.05,-9.03,-0.437,-2.584,
50.0800,242.19,-5.89,-2.252,92.7,-2.19,61.9,-5.91,-5.96,-10.84,-0.499,-2.526,
50.0900,241.61,-6.10,-2.004,93.0,-1.07,62.1,-3.40,-5.05,-9.03,-0.438,-2.498,
50.1000,240.97,-5.83,-2.263,92.8,-2.19,62.0,-5.91,-5.95,-10.84,-0.496,-2.471,
50.1100,240.34,-5.43,-2.014,93.2,-1.07,62.0,-3.40,-5.05,-9.03,-0.438,-2.454,
50.1200,239.59,-4.64,-2.265,92.4,-2.20,61.9,-5.90,-5.96,-10.84,-0.498,-2.422,
50.1300,238.90,-4.64,-2.022,92.8,-1.07,62.0,-3.39,-5.05,-9.04,-0.438,-2.400,
50.1400,238.18,-4.73,-2.277,93.1,-2.19,61.9,-5.91,-5.96,-10.83,-0.498,-2.368,
50.1500,237.60,-4.67,-2.035,93.1,-1.07,62.1,-3.40,-5.05,-9.02,-0.438,-2.338,
50.1600,237.01,-4.09,-2.286,92.7,-2.19,62.1,-5.91,-5.95,-10.84,-0.496,-2.300,
50.1700,236.30,-2.96,-2.054,92.7,-1.05,62.3,-3.39,-5.05,-9.02,-0.437,-2.268,
50.1800,235.57,-2.20,-2.300,93.1,-2.20,62.1,-5.90,-5.95,-10.84,-0.497,-2.249,
50.1900,235.05,-1.77,-2.056,93.4,-1.07,62.4,-3.39,-5.05,-9.03,-0.438,-2.240,
50.2000,234.28,-1.86,-2.303,92.6,-2.20,62.4,-5.91,-5.96,-10.85,-0.498,-2.230,
50.2100,233.72,-1.68,-2.095,92.6,-1.07,62.5,-3.35,-5.04,-9.02,-0.438,-2.232,
50.2200,233.33,-1.31,-2.307,92.6,-2.17,62.4,-5.91,-5.95,-10.85,-0.497,-2.236,
50.2300,232.64,-0.55,-2.054,93.0,-1.05,62.5,-3.38,-5.04,-9.02,-0.437,-2.238,
50.2400,231.96,0.34,-2.305,93.0,-2.19,62.4,-5.91,-5.95,-10.84,-0.498,-2.249,
50.2500,231.43,0.55,-2.057,93.0,-1.06,62.5,-3.37,-5.04,-9.01,-0.437,-2.259,
50.2600,230.68,0.37,-2.298,92.8,-2.19,62.4,-5.91,-5.96,-10.84,-0.497,-2.262,
50.2700,230.18,0.06,-2.043,92.8,-1.06,62.5,-3.38,-5.04,-9.00,-0.437,-2.270,
50.2800,229.50,0.00,-2.297,92.9,-2.20,62.0,-5.92,-5.96,-10.84,-0.498,-2.262,
50.2900,228.74,0.27,-2.050,92.8,-1.06,62.0,-3.37,-5.04,-9.00,-0.438,-2.253,
50.3000,228.08,0.46,-2.305,93.7,-2.20,61.9,-5.92,-5.96,-10.85,-0.498,-2.232,
50.3100,227.38,0.55,-2.060,92.5,-1.07,62.0,-3.37,-5.04,-9.01,-0.437,-2.206,
50.3200,226.72,0.06,-2.311,93.7,-2.20,61.9,-5.91,-5.96,-10.85,-0.498,-2.193,
50.3300,226.23,-0.61,-2.063,92.6,-1.06,62.0,-3.36,-5.04,-9.01,-0.437,-2.172,
50.3400,225.40,-1.04,-2.315,92.8,-2.19,62.0,-5.93,-5.96,-10.85,-0.497,-2.134,
50.3500,225.00,-1.16,-2.073,92.5,-1.06,62.0,-3.37,-5.03,-9.00,-0.437,-2.100,
50.3600,224.12,-0.95,-2.323,93.4,-2.20,61.9,-5.92,-5.95,-10.84,-0.498,-2.087,
50.3700,223.52,-0.79,-2.086,92.3,-1.06,62.0,-3.35,-5.03,-8.99,-0.437,-2.038,
50.3800,222.67,-0.85,-2.338,93.5,-2.21,62.0,-5.91,-5.95,-10.85,-0.498,-2.003,
50.3900,222.16,-1.19,-2.093,92.8,-1.06,62.0,-3.36,-5.04,-9.01,-0.437,-1.952,
50.4000,221.52,-1.13,-2.355,93.0,-2.21,61.9,-5.93,-5.96,-10.84,-0.496,-1.912,
50.4100,220.95,-1.04,-2.118,92.7,-1.05,62.4,-3.37,-5.03,-9.00,-0.437,-1.786,
50.4200,220.17,-0.37,-2.369,93.0,-2.19,62.5,-5.93,-5.96,-10.86,-0.497,-1.715,
50.4300,219.60,0.21,-2.143,92.6,-1.05,62.4,-3.36,-5.03,-9.00,-0.438,-1.643,
50.4400,219.14,0.82,-2.398,93.2,-2.20,62.4,-5.92,-5.96,-10.85,-0.498,-1.581,
50.4500,218.30,1.19,-2.173,92.6,-1.06,62.4,-3.34,-5.03,-8.98,-0.438,-1.523,
50.4600,217.73,1.68,-2.420,93.7,-2.20,62.4,-5.94,-5.95,-10.85,-0.498,-1.464,
50.4700,217.00,2.08,-2.185,93.2,-1.05,62.5,-3.35,-5.03,-8.99,-0.436,-1.414,
50.4800,216.32,3.27,-2.442,92.8,-2.21,62.4,-5.94,-5.96,-10.84,-0.498,-1.359,
50.4900,215.75,4.15,-2.193,92.4,-1.05,62.5,-3.35,-5.02,-8.99,-0.437,-1.310,
50.5000,215.06,5.10,-2.452,93.3,-2.20,62.3,-5.94,-5.96,-10.87,-0.497,-1.265,
50.5100,214.43,5.62,-2.220,93.0,-1.05,62.2,-3.34,-5.03,-9.00,-0.437,-1.227,
50.5200,213.76,6.07,-2.461,93.1,-2.21,62.1,-5.91,-5.95,-10.83,-0.498,-1.195,
50.5300,212.95,6.56,-2.232,92.9,-1.05,62.1,-3.33,-5.03,-8.97,-0.438,-1.171,
